condition,accuracy,n_correct,n_total,ci_lo,ci_hi,ci,has_nle
Baseline,0.36363636363636365,40,110,0.27975228932289853,0.45672332939478255,"[28.0%, 45.7%]",False
E,0.40454545454545454,89,220,0.3418664615371081,0.470500737009236,"[34.2%, 47.1%]",True
