condition,accuracy,n_correct,n_total,ci_lo,ci_hi,ci,has_nle
Baseline,0.5666666666666667,17,30,0.3919730700081361,0.7262251442353347,"[39.2%, 72.6%]",False
E,0.5333333333333333,32,60,0.4089342702715789,0.6537209395856151,"[40.9%, 65.4%]",True
