condition,accuracy,n_correct,n_total,ci_lo,ci_hi,ci,has_nle
Baseline,0.4666666666666667,14,30,0.30232388907699753,0.638577003801267,"[30.2%, 63.9%]",False
E+X+T,0.4666666666666667,28,60,0.34627906041438494,0.5910657297284211,"[34.6%, 59.1%]",True
T,0.4666666666666667,14,30,0.30232388907699753,0.638577003801267,"[30.2%, 63.9%]",False
X,0.43333333333333335,13,30,0.2737748557646652,0.6080269299918639,"[27.4%, 60.8%]",False
X+T,0.5,15,30,0.33154125640533766,0.6684587435946623,"[33.2%, 66.8%]",False
