condition,accuracy,n_correct,n_total,ci_lo,ci_hi,ci,has_nle
Baseline,0.39814814814814814,43,108,0.31085681194636683,0.49243616874274654,"[31.1%, 49.2%]",False
E+X+T,0.46534653465346537,94,202,0.39784955334971867,0.5341369372231294,"[39.8%, 53.4%]",True
T,0.46534653465346537,47,101,0.37112922730014125,0.5621032927473737,"[37.1%, 56.2%]",False
X,0.42592592592592593,46,108,0.33679220437956364,0.5201481452125187,"[33.7%, 52.0%]",False
X+T,0.4672897196261682,50,107,0.3755335795734466,0.5613131556240417,"[37.6%, 56.1%]",False
