condition,accuracy,n_correct,n_total,ci_lo,ci_hi,ci,has_nle
E+X,0.5791666666666667,139,240,0.5159412597480776,0.6398977029278424,"[51.6%, 64.0%]",True
X,0.5333333333333333,64,120,0.4444278926967431,0.6201708295420101,"[44.4%, 62.0%]",False
