condition,accuracy,n_correct,n_total,ci_lo,ci_hi,ci,has_nle
E+X,0.6833333333333333,41,60,0.5576623297382323,0.7869413244763347,"[55.8%, 78.7%]",True
X,0.6,18,30,0.42320360253322475,0.7540937188319815,"[42.3%, 75.4%]",False
